Iteration,BestPathLength,BestPathCost,NormBestCost,GlobalBestLength,GlobalBestCost,ImprovementFactor,Alpha,Beta,Evaporation,Deposit
1,31,33.90,0.6289,31,33.90,1.5900,1.00,3.00,0.50,10.00
2,31,33.90,0.6289,31,33.90,1.5900,1.00,3.00,0.50,10.00
3,31,33.90,0.6289,31,33.90,1.5900,1.00,3.00,0.50,10.00
4,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
5,34,37.20,0.6902,31,33.90,1.4489,1.00,3.00,0.50,10.00
6,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
7,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
8,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
9,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
10,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
11,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
12,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
13,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
14,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
15,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
16,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
17,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
18,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
19,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
20,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
21,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
22,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
23,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
24,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
25,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
26,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
27,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
28,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
29,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
30,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
31,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
32,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
33,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
34,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
35,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
36,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
37,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
38,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
39,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
40,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
41,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
42,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
43,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
44,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
45,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
46,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
47,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
48,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
49,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
50,36,38.40,0.7124,31,33.90,1.4036,1.00,3.00,0.50,10.00
Final,31,33.90,0.6289,31,33.90,1.5900,1.00,3.00,0.50,10.00
