Iteration,BestPathLength,BestPathCost,NormBestCost,GlobalBestLength,GlobalBestCost,ImprovementFactor,Alpha,Beta,Evaporation,Deposit
1,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
2,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
3,27,31.90,0.5918,13,18.40,1.6897,1.00,2.00,0.50,1.00
4,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
5,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
6,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
7,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
8,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
9,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
10,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
11,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
12,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
13,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
14,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
15,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
16,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
17,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
18,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
19,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
20,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
21,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
22,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
23,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
24,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
25,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
26,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
27,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
28,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
29,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
30,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
31,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
32,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
33,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
34,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
35,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
36,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
37,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
38,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
39,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
40,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
41,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
42,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
43,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
44,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
45,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
46,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
47,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
48,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
49,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
50,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
Final,13,18.40,0.3414,13,18.40,2.9293,1.00,2.00,0.50,1.00
